# of Appends    Time (in sec) for +  Time (in sec) for StringBuilder
10              0                    0
100             0                    0
1000            0                    0
2500            0                    0
5000            0.02                 0
7500            0.05                 0
10000           0.09                 0
15000           0.25                 0
25000           1.052                0
35000           2.373                0
50000           5.699                0
65000           10.625               0
75000           14.831               0.01
85000           19.418               0.01
100000          27.159               0.01
150000          65.374               0.01
250000          209.221              0.02
350000          441.615              0.02
500000          910.129              0.04
650000          1521.708             0.06
750000          1999.305             0.05
850000          2576.575             0.06
1000000         3562.933             0.07
